Lineups,TEAM,GP,MIN,OffRtg,DefRtg,NetRtg,AST%,AST/TO,AST Ratio,OREB%,DREB%,REB%,TO Ratio,eFG%,TS%,PACE,PIE
R. Rubio - J. Layman - J. Vanderbilt - J. Nowell - J. McDaniels,MIN,6,57,93.4,86.2,7.3,59.1,1.24,15.9,27.9,73.5,51.9,0.2,48.5,51.2,103.18,54.4
R. Westbrook - D. Bertans - B. Beal - A. Len - R. Hachimura,WAS,12,57,103,109.3,-6.3,41.5,1.38,12.5,31.4,82.8,54.7,0.1,47.5,50.8,109.79,45.1
T. Young - Z. LaVine - L. Markkanen - C. White - P. Williams,CHI,12,57,103.1,113.9,-10.8,68,1.55,19.1,29.5,70.5,50,0.2,53.2,55.5,105.38,46.3
A. Rivers - E. Payton - J. Randle - M. Robinson - R. Barrett,NYK,9,56,88.9,106.3,-17.4,51.4,1.46,12.9,28.6,80.4,50.4,0.1,40,43.6,93.31,35.5
C. Paul - J. Crowder - D. Booker - D. Ayton - C. Johnson,PHX,12,56,114.4,104.2,10.2,49,1.56,15.4,36.4,75.9,56.6,0.1,54.7,58.4,100.94,56.8
D. Booker - C. Payne - M. Bridges - D. Ayton - C. Johnson,PHX,22,56,115.8,109.4,6.4,57.1,2.29,19.2,32,78,55,0.1,59,60.6,100.83,52.9
D. Rose - T. Gibson - A. Burks - J. Randle - I. Quickley,NYK,18,56,87.1,80,7.1,47.1,1.33,10.3,22.4,77.6,50,0.1,41.9,47.8,105.48,54.9
J. Johnson - E. Bledsoe - W. Hernangomez - L. Ball - N. Marshall,NOP,4,56,113,110.9,2,66.1,2.6,20.2,31.1,77.8,52.6,0.1,52.4,53.7,110.62,51.5
M. Plumlee - J. Grant - D. Wright - F. Jackson - S. Bey,DET,4,56,105.8,102.5,3.3,69.8,1.5,18.2,24.1,80.7,52.2,0.2,49.5,55.8,103.14,53.2
P. Beverley - P. George - M. Morris Sr. - K. Leonard - I. Zubac,LAC,8,56,123.6,102.8,20.8,58.8,1.88,19.6,28.9,79.2,56.1,0.1,64.7,66.1,92.72,59.1
T. Gibson - A. Burks - J. Randle - R. Barrett - I. Quickley,NYK,11,56,108.4,101.7,6.7,43.5,2.5,12.7,31.7,79.6,52.7,0.1,47.2,53.2,101.39,52.3
T. Young - G. Temple - N. Vucevic - C. White - P. Williams,CHI,11,56,131.9,97.4,34.5,64.4,5.43,21.3,33.8,83.9,57,0.1,58.3,60.3,100.38,62.7
C. Wood - D. House Jr. - S. Brown - K. Porter Jr. - J. Tate,HOU,4,55,104.1,121.3,-17.2,61.4,1.42,17.1,17,72.5,44.2,0.2,57.6,59.4,106.15,41.4
R. Lopez - B. Beal - R. Neto - R. Hachimura - D. Avdija,WAS,14,55,123.1,133.9,-10.8,52.5,1.94,19.1,29.2,79.5,51.7,0.1,62.6,64.4,100.92,45.6
W. Barton - A. Gordon - N. Jokic - M. Morris - M. Porter Jr.,DEN,6,55,129.8,133,-3.2,66.1,2.47,22.3,35.7,68.8,53.3,0.1,63.4,68,96.29,54.3
C. Anthony - E. Kanter - C. McCollum - N. Powell - A. Simons,POR,9,54,124.3,118.8,5.5,44.7,2.1,14.8,36.7,61.1,49.5,0.1,55.8,60.6,91.09,50.7
D. DeRozan - P. Mills - D. Murray - J. Poeltl - K. Johnson,SAS,15,54,103.4,112.5,-9.1,61.9,1.73,16.6,27.8,66.1,48.3,0.1,50,56.8,104.39,47.1
G. Hayward - C. Zeller - T. Rozier - D. Graham - P. Washington,CHA,8,54,124,110.4,13.7,80.4,3.36,23,37.3,71.7,53.6,0.1,54.9,57.5,94.18,56.3
N. Vucevic - E. Fournier - A. Gordon - M. Fultz - D. Bacon,ORL,5,54,98.4,124.8,-26.4,50,1.41,15.6,13.8,75,42.7,0.1,50.5,53.5,107.21,38.5
R. Westbrook - B. Beal - A. Len - R. Neto - R. Hachimura,WAS,7,54,129.5,111.4,18.1,65.6,3.5,23.1,33.3,75.4,55.7,0.1,57.3,61.8,109.78,57.7
A. Davis - A. Drummond - D. Schroder - K. Caldwell-Pope - K. Kuzma,LAL,4,53,114.8,110.5,4.3,56,2.55,18.7,28.3,81.6,53.9,0.1,55,56.5,95.66,54.1
E. Gordon - D. House Jr. - D. Nwaba - S. Brown - J. Tate,HOU,10,53,107.2,113.9,-6.7,56.1,2.3,15.3,26.2,64.2,43.9,0.1,48,52.9,102.57,42.7
G. Hayward - T. Rozier - M. Bridges - P. Washington - L. Ball,CHA,13,53,120.7,113.3,7.4,55.6,2.14,19.4,19.1,70.4,46.5,0.1,63.3,65.3,103.89,53.7
K. Durant - D. Jordan - J. Harden - K. Irving - J. Harris,BKN,5,50,120.2,101.9,18.3,72.3,2.13,22.2,23.3,83.9,57.6,0.1,60.2,64.2,102.36,62.4
L. Williams - M. Morris Sr. - K. Leonard - I. Zubac - T. Mann,LAC,10,50,111.1,98.2,12.9,45.7,1.91,14.6,29.4,87.7,60.2,0.1,54.7,57.7,105.18,57.2
M. Morris - D. Schroder - K. Caldwell-Pope - M. Harrell - K. Kuzma,LAL,12,50,108.3,101.9,6.4,71.8,2.55,17.5,38.1,82.4,57.9,0.1,46.5,51.6,102.45,53.7
N. Vucevic - T. Ross - K. Birch - D. Bacon - C. Anthony,ORL,16,50,67.3,133,-65.7,44.4,0.67,8.9,35.9,66.7,49.1,0.2,33.3,35.7,97.43,10.6
R. Rubio - K. Towns - J. Vanderbilt - A. Edwards - J. McDaniels,MIN,11,50,98.2,118.9,-20.7,73.8,1.94,19.6,31.6,74.5,51,0.1,49.5,51.1,103.31,39.9
S. Mykhailiuk - K. Williams - M. Brown - T. Maledon - A. Pokusevski,OKC,5,50,92,119.6,-27.7,66.7,1.37,17.3,20.3,71.4,45.2,0.2,49.5,50.9,107.85,37.3
T. Ariza - J. Butler - V. Oladipo - B. Adebayo - D. Robinson,MIA,4,50,109.2,94.5,14.6,72.1,1.72,20.8,19.1,76.1,47.3,0.2,56.3,60.4,104.11,58.5
T. Harris - S. Curry - J. Embiid - B. Simmons - S. Milton,PHI,12,50,134.5,83.8,50.7,51.8,1.93,18.1,40.9,85.2,65.3,0.1,65.1,67.4,106.76,76.1
B. Lopez - K. Middleton - G. Antetokounmpo - P. Connaughton - D. DiVincenzo,MIL,15,49,94.5,105.3,-10.8,56.1,1.35,16.1,19.6,72.9,48.2,0.2,50.6,53.4,108.62,46
C. Anthony - E. Kanter - C. McCollum - A. Simons - N. Little,POR,9,49,128.1,105.1,23,42.6,6.67,14.8,32.8,73.1,51.8,0,53.9,55.5,95.75,55.5
C. Joseph - M. Plumlee - J. Grant - J. Jackson - S. Bey,DET,5,49,117.5,123.3,-5.8,69.8,3,20.8,22.4,78.7,50,0.1,55.2,59.1,100.69,51.2
E. Bledsoe - S. Adams - B. Ingram - J. Hart - N. Alexander-Walker,NOP,11,49,93.2,129,-35.8,50,1.23,11.8,30,66,45.8,0.1,46.6,48.7,99.29,31.8
E. Davis - D. Russell - M. Beasley - J. Hernangomez - J. Culver,MIN,4,49,107.8,115.4,-7.5,40,1.14,12.1,26.9,77.1,51,0.1,52.2,55.7,101.04,44.9
K. Anderson - D. Brooks - J. Morant - X. Tillman - D. Bane,MEM,11,49,111,110.7,0.3,58.1,2.08,18.1,25.5,69.5,49.1,0.1,54.9,56.6,99.99,51.2
K. Durant - J. Green - D. Jordan - K. Irving - J. Harris,BKN,5,49,108.1,128,-19.9,60.4,2.07,20,11.1,70.9,44,0.1,58.7,60.9,106.85,46.1
L. Williams - D. Gallinari - S. Hill - K. Huerter - O. Okongwu,ATL,8,49,109.9,89.6,20.3,64.3,2.45,19.4,22,82,52,0.1,52.7,56.4,102.4,55.5
S. Curry - D. Green - K. Bazemore - M. Mulder - J. Toscano-Anderson,GSW,13,49,127.9,110.4,17.6,66.7,3.78,22.1,19.1,66.7,43.9,0.1,62.2,65.9,107.12,59.3
T. Young - G. Temple - Z. LaVine - C. White - P. Williams,CHI,16,49,123.3,130.1,-6.8,59.6,1.65,18.5,40,75,56.4,0.2,57.4,61,104.78,42.8
A. Drummond - L. Nance Jr. - C. Osman - C. Sexton - I. Okoro,CLE,7,48,99,120.4,-21.3,58.5,1.33,17.3,20.4,77.8,44.7,0.2,50.6,54.5,106.57,37.3
A. Iguodala - G. Dragic - B. Adebayo - D. Robinson - K. Nunn,MIA,12,48,110.1,106.7,3.4,67.5,1.59,18.4,23.9,73.1,50,0.2,55.2,61,107,52.3
A. Wiggins - K. Looney - M. Mulder - J. Toscano-Anderson - J. Poole,GSW,9,48,94.8,105.3,-10.4,55.9,1.9,15.2,18,72.5,45.5,0.1,48.8,51.4,96.1,45.3
B. Griffin - W. Ellington - J. Grant - D. Wright - I. Stewart,DET,8,48,116.7,98.9,17.8,53.7,4.4,17.6,28,70.2,48.5,0.1,54,56,90.61,58.6
C. Randle - S. Thornwell - I. Brazdeikis - D. Hall - R. Hampton,ORL,4,48,94.1,89.4,4.6,58.3,1.24,16,20.4,70.2,47.2,0.2,49.4,52.5,102.36,51.6
E. Davis - D. Russell - M. Beasley - J. Okogie - A. Edwards,MIN,3,48,110.8,116.7,-5.9,47.5,1.73,14.3,21.1,73.5,40.7,0.1,51.6,54.7,102,38.7
J. Holiday - D. McDermott - T. McConnell - A. Holiday - G. Bitadze,IND,9,48,136.5,101,35.5,75,3.55,23.9,39.6,75.9,57.9,0.1,61.3,63.8,101.64,64.3
J. Sampson - C. LeVert - M. Brogdon - E. Sumner - O. Brissett,IND,5,48,108,116.8,-8.8,39,1.23,12.3,26.4,72.2,49.5,0.1,48.4,52.9,100.35,42.4
L. Aldridge - D. DeRozan - P. Mills - L. Walker IV - K. Johnson,SAS,12,48,103.8,96.3,7.5,55,2.2,16.2,17.3,80,49.5,0.1,51.1,55.3,105.12,53.4
N. Vucevic - Z. LaVine - D. Theis - C. White - P. Williams,CHI,5,48,110.9,107.8,3.1,57.1,1.85,17.3,25.5,74.1,49.5,0.1,53.2,55.7,101.05,49.4
R. Rubio - K. Towns - M. Beasley - J. Okogie - A. Edwards,MIN,4,48,105,126,-21,51.2,1.62,15.2,32.1,73,48.4,0.1,50,52.6,101.19,40.4
W. Matthews - M. Harrell - A. Caruso - K. Kuzma - T. Horton-Tucker,LAL,10,48,91.5,94.1,-2.6,52.8,1.06,14.1,22.2,72.5,49,0.2,48.1,53.3,104.18,51.4
A. Rivers - N. Noel - K. Knox II - O. Toppin - I. Quickley,NYK,7,47,91.9,112.1,-20.2,44.1,1.5,12.7,10,58.2,35.2,0.1,48.2,51.5,100.61,37.5
K. Lowry - N. Powell - F. VanVleet - O. Anunoby - C. Boucher,TOR,7,47,136.8,92.7,44.1,67.5,2.25,20.6,24.3,65,49.5,0.1,68.9,73.1,98.55,78.1
L. James - M. Gasol - A. Davis - D. Schroder - K. Kuzma,LAL,9,47,100,92.6,7.4,63.4,1.3,20,20,83.3,56.4,0.2,57.6,58.5,97.3,53.1
L. James - M. Gasol - W. Matthews - K. Caldwell-Pope - K. Kuzma,LAL,3,47,102,96,6.1,67.6,1.32,18.5,22,81.6,51.5,0.2,53.5,55.9,102.13,50.9
L. James - W. Matthews - M. Morris - M. Harrell - T. Horton-Tucker,LAL,8,47,101,99,2,55.6,1.67,15.5,25,79.6,53.9,0.1,52.5,56.2,101.42,53.8
R. Rubio - M. Beasley - J. Okogie - J. Vanderbilt - N. Reid,MIN,4,47,101.9,109.7,-7.8,61.5,1.71,16.3,38.2,64.6,50.5,0.1,45.2,50.5,105.91,48
S. Curry - D. Green - K. Bazemore - A. Wiggins - J. Wiseman,GSW,14,47,105.7,111.8,-6.2,60.5,1.86,17.7,29.4,80.5,52.2,0.1,52.2,55.2,111.4,43.8
T. Hardaway Jr. - K. Porzingis - D. Finney-Smith - J. Brunson - L. Doncic,DAL,18,47,115.5,147.5,-31.9,53.7,2,15.7,33.3,72.7,49.4,0.1,56.3,60.4,103.06,36.6
