Player,Team,Pos,Archetype
Tyler Cook,CHI,PF,Athletic Finisher
Nerlens Noel,NYK,C,Rim running shotblocker
Paul Watson,OKC,SF,Unclassified
Juancho Hernangómez,3TM,PF,Unclassified
Juancho Hernangómez,BOS,PF,Unclassified
Juancho Hernangómez,SAS,PF,Unclassified
Juancho Hernangómez,UTA,PF,Rim running shotblocker
Semi Ojeleye,2TM,PF,Unclassified
Semi Ojeleye,MIL,PF,Unclassified
Semi Ojeleye,LAC,PF,Unclassified
Tremont Waters,2TM,PG,Pitbull
Tremont Waters,TOR,PG,Pitbull
Tremont Waters,WAS,PG,Pitbull
Tim Frazier,2TM,PG,Secondary Playmaker
Tim Frazier,ORL,PG,Secondary Playmaker
Tim Frazier,CLE,PG,Unclassified
Sterling Brown,DAL,SG,Switchable defender
Trent Forrest,UTA,PG,Secondary Playmaker
Gabriel Lundberg,PHO,SG,Unclassified
Killian Tillie,MEM,C,Unclassified
Dalano Banton,TOR,PG,Pitbull
Daishen Nix,HOU,SG,Pitbull
Jahmi'us Ramsey,SAC,SG,Unclassified
Justin Robinson,3TM,PG,Unclassified
Justin Robinson,MIL,PG,Secondary Playmaker
Justin Robinson,SAC,PG,Unclassified
Justin Robinson,DET,PG,Unclassified
Kevin Knox,2TM,SF,Unclassified
Kevin Knox,NYK,SF,Unclassified
Kevin Knox,ATL,SF,Unclassified
Rodney Hood,2TM,SF,Unclassified
Rodney Hood,MIL,PF,Unclassified
Rodney Hood,LAC,SF,Unclassified
Keljin Blevins,POR,SF,Unclassified
Devontae Cacok,SAS,PF,Rim running shotblocker
Paul Reed,PHI,C,Rim running shotblocker
Javonte Smart,2TM,PG,Unclassified
Javonte Smart,MIL,PG,Unclassified
Javonte Smart,MIA,PG,Microwave
Paris Bass,PHO,SF,Microwave
Charles Bassey,PHI,C,Rim running shotblocker
Tony Bradley,CHI,C,Rim running shotblocker
Daniel Oturu,TOR,C,Rim running shotblocker
Elfrid Payton,PHO,PG,Secondary Playmaker
Neemias Queta,SAC,C,Unclassified
Nick Richards,CHO,C,Rim running shotblocker
Matt Ryan,BOS,SF,Shooter
Tre Scott,CLE,SF,Athletic Finisher
Bruno Fernando,2TM,C,Rim running shotblocker
Bruno Fernando,BOS,C,Unclassified
Bruno Fernando,HOU,C,Rim running shotblocker
Vernon Carey Jr.,2TM,C,Unclassified
Vernon Carey Jr.,CHO,C,Unclassified
Vernon Carey Jr.,WAS,C,Rim running shotblocker
Skylar Mays,ATL,SG,Glue guy
Denzel Valentine,2TM,SG,Switchable defender
Denzel Valentine,CLE,SG,Switchable defender
Denzel Valentine,UTA,SG,Pitbull
Tyler Johnson,2TM,PG,Unclassified
Tyler Johnson,PHI,PG,Unclassified
Tyler Johnson,SAS,PG,Pitbull
Aleem Ford,ORL,SF,Unclassified
Tyrone Wallace,NOP,SG,Pitbull
Gary Clark,NOP,PF,Unclassified
Josh Okogie,MIN,SG,Pitbull
Jay Scrubb,LAC,SG,Unclassified
Quinndary Weatherspoon,GSW,SG,Glue guy
Chris Silva,2TM,PF,Glue guy
Chris Silva,MIN,PF,Unclassified
Chris Silva,MIA,PF,Glue guy
Gabriel Deck,OKC,PF,Playmaking forward
Devon Dotson,CHI,PG,Secondary Playmaker
Juwan Morgan,2TM,PF,Athletic Finisher
Juwan Morgan,TOR,PF,Athletic Finisher
Juwan Morgan,BOS,PF,Unclassified
Udonis Haslem,MIA,C,Unclassified
Sam Hauser,BOS,SF,Unclassified
Theo Pinson,DAL,SF,Secondary Playmaker
Bol Bol,DEN,PF,Athletic Finisher
Jalen Johnson,ATL,PF,Athletic Finisher
Jake Layman,MIN,SF,Unclassified
Abdel Nader,PHO,SF,Switchable defender
Ish Wainright,PHO,PF,Switchable defender
Nik Stauskas,2TM,SG,Unclassified
Nik Stauskas,MIA,SG,Slasher
Nik Stauskas,BOS,SG,Microwave
Justin Champagnie,TOR,SF,Unclassified
Freddie Gillespie,ORL,PF,Switchable defender
Haywood Highsmith,MIA,SF,3&D Specialist
Miles McBride,NYK,PG,Pitbull
Jericho Sims,NYK,PF,Rim running shotblocker
Dylan Windler,CLE,SF,Switchable defender
Jeff Dowtin Jr.,3TM,PG,Pitbull
Jeff Dowtin Jr.,GSW,PG,Secondary Playmaker
Jeff Dowtin Jr.,MIL,PG,Unclassified
Jeff Dowtin Jr.,ORL,PG,Pitbull
Justin Jackson,2TM,SF,Unclassified
Justin Jackson,BOS,SF,Slasher
Justin Jackson,PHO,SF,Unclassified
Joe Wieskamp,SAS,SG,Unclassified
Langston Galloway,2TM,SG,Unclassified
Langston Galloway,BRK,SG,Unclassified
Langston Galloway,MIL,SG,Secondary Playmaker
Luke Kornet,3TM,C,Rim running shotblocker
Luke Kornet,CLE,C,Unclassified
Luke Kornet,MIL,C,Unclassified
Luke Kornet,BOS,C,Rim running shotblocker
Ahmad Caver,IND,SG,Athletic Finisher
Chris Chiozza,GSW,PG,Secondary Playmaker
Damyean Dotson,NYK,SG,Athletic Finisher
Usman Garuba,HOU,PF,Switchable defender
Shaquille Harrison,BRK,SG,Pitbull
Joe Johnson,BOS,SG,Athletic Finisher
Jemerrio Jones,LAL,SF,Athletic Finisher
Norvel Pelle,UTA,C,Rim running shotblocker
Craig Sword,WAS,SG,Pitbull
JT Thor,CHO,PF,Rim running shotblocker
Cassius Winston,WAS,PG,Unclassified
Marko Simonovic,CHI,C,Unclassified
Alize Johnson,3TM,PF,Unclassified
Alize Johnson,CHI,PF,Athletic Finisher
Alize Johnson,WAS,PF,Unclassified
Alize Johnson,NOP,PF,Unclassified
Eugene Omoruyi,DAL,SF,Playmaking forward
Brodric Thomas,BOS,SG,Unclassified
Willie Cauley-Stein,2TM,C,Unclassified
Willie Cauley-Stein,DAL,C,Unclassified
Willie Cauley-Stein,PHI,C,Unclassified
Wayne Selden,NYK,SG,Unclassified
Isaiah Todd,WAS,PF,Unclassified
Ryan Arcidiacono,NYK,PG,Unclassified
Kevin Pangos,CLE,PG,Secondary Playmaker
Rob Edwards,OKC,SG,Unclassified
Emmanuel Mudiay,SAC,PG,Unclassified
Malik Fitts,2TM,PF,Glue guy
Malik Fitts,UTA,PF,Unclassified
Malik Fitts,BOS,PF,Glue guy
Charlie Brown Jr.,2TM,SG,Switchable defender
Charlie Brown Jr.,DAL,SG,Switchable defender
Charlie Brown Jr.,PHI,SG,Pitbull
Leandro Bolmaro,MIN,SF,Unclassified
Moses Wright,2TM,PF,Playmaking forward
Moses Wright,LAC,PF,Playmaking forward
Moses Wright,DAL,PF,Unclassified
Darren Collison,LAL,PG,Unclassified
Jordan Schakel,WAS,SG,Unclassified
Myles Powell,PHI,PG,Unclassified
Petr Cornelie,DEN,PF,Rim running shotblocker
Tacko Fall,CLE,C,Unclassified
Marcus Garrett,MIA,SG,Switchable defender
RJ Nembhard Jr.,CLE,SG,Secondary Playmaker
Yves Pons,MEM,SF,Unclassified
Shaq Buchanan,MEM,SG,Unclassified
Kai Jones,CHO,C,Rim running shotblocker
Dakota Mathias,MEM,SG,Pitbull
Deividas Sirvydis,DET,SG,Switchable defender
Jaden Springer,PHI,SG,Athletic Finisher
Tyrell Terry,MEM,PG,Unclassified
McKinley Wright IV,MIN,PG,Secondary Playmaker
Ed Davis,CLE,C,Rim running shotblocker
Carlik Jones,2TM,PG,Unclassified
Carlik Jones,DAL,PG,Unclassified
Carlik Jones,DEN,PG,Microwave
Isaac Bonga,TOR,SF,Switchable defender
Jarron Cumberland,POR,SG,Glue guy
Chandler Hutchison,PHO,SF,Glue guy
DaQuan Jeffries,MEM,SG,Glue guy
Jaylen Morris,SAS,SG,Unclassified
Xavier Sneed,2TM,SF,Unclassified
Xavier Sneed,MEM,SF,Unclassified
Xavier Sneed,UTA,SF,Unclassified
Solomon Hill,ATL,SF,Glue guy
Robert Woodard II,SAC,SF,Unclassified
Sharife Cooper,ATL,PG,Unclassified
Scottie Lewis,CHO,SG,Glue guy
Joel Ayayi,WAS,SG,Glue guy
Aaron Henry,PHI,SF,Unclassified
George King,DAL,SF,Unclassified
Miye Oni,UTA,SG,Secondary Playmaker
Cat Barber,ATL,PG,Unclassified
Jordan Bell,CHI,C,Unclassified
Zylan Cheatham,UTA,SF,Unclassified
Sam Dekker,TOR,PF,Unclassified
Javin DeLaurier,MIL,C,Unclassified
Jaime Echenique,WAS,C,Unclassified
Jordan Goodwin,WAS,SG,Unclassified
Tyler Hall,NYK,SG,Unclassified
Nate Hinton,IND,SG,Unclassified
Jay Huff,LAL,C,Unclassified
Feron Hunt,NYK,SF,Switchable defender
DeJon Jarreau,IND,SG,Unclassified
David Johnson,TOR,SG,Unclassified
Arnoldas Kulboka,CHO,SF,Unclassified
Anthony Lamb,SAS,SF,Playmaking forward
JaQuori McLaughlin,DAL,PG,Unclassified
C.J. Miles,BOS,SG,Unclassified
Matt Mooney,NYK,SG,Switchable defender
Ade Murkey,SAC,SG,Unclassified
Jaysean Paige,DET,PG,Unclassified
Trayvon Palmer,DET,SG,Unclassified
Emanuel Terry,PHO,PF,Unclassified
Jon Teske,MEM,C,Unclassified
M.J. Walker,PHO,SG,Unclassified
