Player,Team,Pos,Archetype
Wes Iwundu,2TM,SF,Unclassified
Mfiondu Kabengele,2TM,PF,Unclassified
Vernon Carey Jr.,CHO,C,Rim running shotblocker
Jeremiah Martin,CLE,PG,Unclassified
Rayjon Tucker,PHI,PG,Unclassified
Justin Robinson,OKC,PG,Secondary Playmaker
CJ Elleby,POR,SF,Unclassified
Quinndary Weatherspoon,SAS,SG,Switchable defender
Alex Len,TOR,C,Unclassified
Jarrell Brantley,UTA,PF,Playmaking forward
Bol Bol,DEN,PF,Unclassified
Sean McDermott,MEM,SF,Unclassified
Shaquille Harrison,2TM,SG,Pitbull
Chris Silva,2TM,PF,Rim running shotblocker
Devon Dotson,CHI,PG,Pitbull
Wes Iwundu,DAL,SF,Switchable defender
Vlatko Čančar,DEN,PF,Unclassified
Deividas Sirvydis,DET,SG,Unclassified
Quinn Cook,LAL,PG,Microwave
Ed Davis,MIN,C,Unclassified
Sindarius Thornwell,2TM,SG,Pitbull
Norvel Pelle,BRK,C,Unclassified
Luke Kornet,CHI,C,Rim running shotblocker
Nate Hinton,DAL,SG,Switchable defender
Ray Spalding,HOU,C,Rim running shotblocker
Devontae Cacok,LAL,PF,Rim running shotblocker
Jontay Porter,MEM,PF,Athletic Finisher
Nicolò Melli,NOP,PF,Switchable defender
Jalen Smith,PHO,PF,Rim running shotblocker
Isaac Bonga,WAS,SF,Unclassified
Chandler Hutchison,CHI,SF,Unclassified
Alen Smailagić,GSW,PF,Unclassified
Miye Oni,UTA,SG,Switchable defender
Cassius Winston,WAS,PG,Secondary Playmaker
Daniel Oturu,LAC,C,Unclassified
Axel Toupane,MIL,SF,Switchable defender
James Nunnally,NOP,SF,Unclassified
T.J. Leaf,POR,PF,Switchable defender
Elijah Hughes,UTA,SF,Playmaking forward
Tim Frazier,MEM,PG,Unclassified
Damian Jones,PHO,C,Unclassified
Rodions Kurucs,3TM,PF,Switchable defender
Norvel Pelle,3TM,C,Unclassified
Bruno Fernando,ATL,C,Unclassified
Al-Farouq Aminu,CHI,PF,Unclassified
Cassius Stanley,IND,SG,Unclassified
Anthony Tolliver,PHI,PF,Unclassified
Robert Woodard II,SAC,SF,Unclassified
Maurice Harkless,MIA,SF,Switchable defender
Kris Dunn,ATL,PG,Pitbull
Cristiano Felício,CHI,C,Unclassified
Nate Darling,CHO,SG,Unclassified
Jalen Lecque,IND,PG,Unclassified
Moritz Wagner,BOS,C,Unclassified
Andre Roberson,BRK,SG,Pitbull
Marques Bolden,CLE,C,Unclassified
Rodions Kurucs,HOU,SF,Switchable defender
Mfiondu Kabengele,LAC,PF,Unclassified
Sindarius Thornwell,NOP,SG,Pitbull
Norvel Pelle,NYK,C,Rim running shotblocker
Juwan Morgan,UTA,PF,Switchable defender
Adam Mokoka,CHI,SG,Unclassified
Karim Mané,ORL,PG,Unclassified
Udoka Azubuike,UTA,C,Unclassified
Iman Shumpert,BRK,SG,Unclassified
Tyler Bey,DAL,SF,Unclassified
Tyrell Terry,DAL,PG,Pitbull
Jordan Bell,GSW,C,Unclassified
Malik Fitts,LAC,PF,Unclassified
Patrick McCaw,TOR,SF,Glue guy
Shaquille Harrison,UTA,SG,Unclassified
Nick Richards,CHO,PF,Unclassified
Kostas Antetokounmpo,LAL,PF,Switchable defender
Vincent Poirier,PHI,C,Unclassified
Keljin Blevins,POR,SF,Unclassified
Cameron Reynolds,SAS,SF,Unclassified
Rodions Kurucs,BRK,PF,Playmaking forward
Ty-Shon Alexander,PHO,SG,Secondary Playmaker
Tyler Cook,BRK,PF,Playmaking forward
Brian Bowen,IND,SF,Unclassified
Jared Dudley,LAL,PF,Switchable defender
Ignas Brazdeikis,NYK,SF,Playmaking forward
Chris Silva,SAC,PF,Unclassified
Jared Harper,NYK,PG,Unclassified
Jaylen Adams,MIL,PG,Unclassified
Terrance Ferguson,PHI,SG,Unclassified
Theo Pinson,NYK,SG,Unclassified
Noah Vonleh,BRK,C,Unclassified
Gary Clark,DEN,SF,Unclassified
Greg Whittington,DEN,PF,Unclassified
Ashton Hagans,MIN,PG,Unclassified
Will Magnay,NOP,C,Unclassified
Ignas Brazdeikis,PHI,SF,Unclassified
Gary Clark,PHI,PF,Switchable defender
Anžejs Pasečņiks,WAS,C,Unclassified
