Player,Team,Pos,Archetype
Rayan Rupert,POR,SG,Unclassified
P.J. Tucker,NYK,SF,3&D Specialist
Pete Nance,2TM,C,Unclassified
Pete Nance,PHI,C,Unclassified
Pete Nance,MIL,PF,Glue guy
Markelle Fultz,SAC,PG,Secondary Playmaker
Taj Gibson,CHO,C,Unclassified
Tyler Smith,MIL,PF,Athletic Finisher
RayJ Dennis,IND,PG,Unclassified
David Duke Jr.,SAS,SG,Unclassified
Keshad Johnson,MIA,SF,Switchable defender
Reece Beekman,2TM,PG,Pitbull
Reece Beekman,GSW,PG,Pitbull
Reece Beekman,BRK,PG,Pitbull
Jae Crowder,SAC,PF,3&D Specialist
Josh Minott,MIN,SF,Switchable defender
Hunter Tyson,DEN,PF,Unclassified
Jaden Springer,2TM,PG,Pitbull
Jaden Springer,BOS,SG,Pitbull
Jaden Springer,UTA,PG,Pitbull
Trey Jemison,2TM,C,Unclassified
Trey Jemison,NOP,C,Unclassified
Trey Jemison,LAL,C,Rim running shotblocker
Anthony Gill,WAS,PF,Athletic Finisher
Dillon Jones,OKC,SF,Unclassified
Pat Spencer,GSW,PG,Unclassified
Johnny Davis,WAS,SG,Switchable defender
Christian Koloko,LAL,C,Rim running shotblocker
John Konchar,MEM,SG,Switchable defender
MarJon Beauchamp,3TM,SF,Microwave
MarJon Beauchamp,MIL,SF,Unclassified
MarJon Beauchamp,LAC,SF,Point Forward
MarJon Beauchamp,NYK,SF,2 Way Player
Bronny James,LAL,SG,Pitbull
Mason Jones,SAC,SG,Athletic Finisher
Miles Norris,BOS,PF,Switchable defender
Patrick Baldwin Jr.,2TM,SF,Unclassified
Patrick Baldwin Jr.,WAS,SF,Unclassified
Patrick Baldwin Jr.,LAC,SF,Glue guy
Drew Peterson,BOS,PF,Switchable defender
TyTy Washington Jr.,PHO,PG,Unclassified
Jordan McLaughlin,2TM,PG,Secondary Playmaker
Jordan McLaughlin,SAC,PG,Secondary Playmaker
Jordan McLaughlin,SAS,PG,Secondary Playmaker
JD Davison,BOS,PG,Unclassified
Chris Duarte,CHI,SG,Secondary Playmaker
Enrique Freeman,IND,PF,Unclassified
Johnny Furphy,IND,SG,Switchable defender
Dwight Powell,DAL,C,Rim running shotblocker
Josh Christopher,MIA,SG,Unclassified
Tyler Kolek,NYK,PG,Secondary Playmaker
Adama Sanogo,CHI,C,Unclassified
Kobe Brown,LAC,PF,Switchable defender
Ariel Hukporti,NYK,C,Rim running shotblocker
Bobi Klintman,DET,SF,Secondary Playmaker
Garrett Temple,TOR,SG,Pitbull
Jericho Sims,2TM,C,Rim running shotblocker
Jericho Sims,NYK,C,Rim running shotblocker
Jericho Sims,MIL,C,Rim running shotblocker
Vlatko Čančar,DEN,PF,Unclassified
Adam Flagler,OKC,SG,Unclassified
Trentyn Flowers,LAC,SF,Unclassified
E.J. Liddell,CHI,PF,Athletic Finisher
Jahmir Young,CHI,PG,Secondary Playmaker
Pacome Dadiet,NYK,SG,Unclassified
Alex Ducas,OKC,SG,Unclassified
PJ Hall,DEN,C,Rim running shotblocker
Emanuel Miller,CHI,PF,Athletic Finisher
Tristan Thompson,CLE,C,Unclassified
Alex Len,2TM,C,Unclassified
Alex Len,SAC,C,Rim running shotblocker
Alex Len,LAL,C,Unclassified
Yuki Kawamura,MEM,PG,Secondary Playmaker
Jack McVeigh,HOU,PF,Unclassified
Armel Traoré,LAL,SF,Unclassified
Jordan Walsh,BOS,PF,Switchable defender
Phillip Wheeler,PHI,PF,Unclassified
Sidy Cissoko,2TM,SF,Playmaking forward
Sidy Cissoko,SAS,SF,Playmaking forward
Sidy Cissoko,POR,SF,Playmaking forward
Jazian Gortman,DAL,PG,Unclassified
Kevin McCullar Jr.,NYK,SF,Switchable defender
Leonard Miller,MIN,SF,Unclassified
Quincy Olivari,LAL,PG,Unclassified
Matt Ryan,NYK,SF,Unclassified
Jacob Toppin,2TM,SF,Unclassified
Jacob Toppin,NYK,SF,Switchable defender
Jacob Toppin,ATL,SF,Shooter
Cam Christie,LAC,SG,Switchable defender
Chris Livingston,MIL,SF,Unclassified
Trey Alexander,DEN,SG,Glue guy
Spencer Jones,DEN,SF,Unclassified
Skal Labissière,SAC,PF,Glue guy
Jalen Bridges,PHO,SF,Unclassified
Yuri Collins,GSW,PG,Pitbull
Daniss Jenkins,DET,PG,Unclassified
Braxton Key,GSW,SF,Slasher
Bryce McGowens,POR,SG,Unclassified
Xavier Tillman Sr.,BOS,C,Unclassified
Luke Travers,CLE,SG,Unclassified
Isaiah Crawford,SAC,SF,Unclassified
Justin Minaya,POR,SF,Switchable defender
Anton Watson,NYK,SF,Unclassified
D.J. Carton,TOR,SG,Pitbull
PJ Dozier,MIN,SG,Secondary Playmaker
Joe Ingles,MIN,SF,Secondary Playmaker
Harrison Ingram,SAS,SF,Athletic Finisher
Ulrich Chomche,TOR,PF,Unclassified
James Johnson,IND,PF,Unclassified
Liam Robbins,MIL,C,Unclassified
Stanley Umude,MIL,SG,Unclassified
Cui Yongxi,BRK,SG,Unclassified
Tristen Newton,2TM,SG,Unclassified
Tristen Newton,IND,SG,Unclassified
Tristen Newton,MIN,SG,Pitbull
Malevy Leons,OKC,SF,Unclassified
Daishen Nix,MIN,PG,Unclassified
Terence Davis,SAC,SG,Glue guy
Jesse Edwards,MIN,C,Unclassified
Mac McClung,ORL,SG,Glue guy
Jalen McDaniels,WAS,SF,Playmaking forward
Riley Minix,SAS,SF,Unclassified
Jahlil Okafor,IND,C,Unclassified
Zyon Pullin,MEM,SG,Unclassified
Isaiah Stevens,MIA,PG,Pitbull
Terry Taylor,SAC,PF,Playmaking forward
