Player,Team,Pos,Archetype
Lindell Wigginton,MIL,PG,Microwave
Eugene Omoruyi,2TM,SF,Slasher
Eugene Omoruyi,OKC,SF,Unclassified
Eugene Omoruyi,DET,SF,Slasher
Chance Comanche,POR,C,Rim running shotblocker
Kevon Looney,GSW,C,Rim running shotblocker
Joshua Primo,SAS,SG,Slasher
Daniel Theis,IND,C,Rim running shotblocker
Xavier Tillman Sr.,MEM,C,Rim running shotblocker
Svi Mykhailiuk,2TM,SF,Point Forward
Svi Mykhailiuk,NYK,SF,Switchable defender
Svi Mykhailiuk,CHO,SF,Point Forward
Jae Crowder,MIL,PF,Glue guy
Willy Hernangómez,NOP,C,Unclassified
Joe Ingles,MIL,SF,Secondary Playmaker
Ty Jerome,GSW,SG,Secondary Playmaker
Cory Joseph,DET,PG,Secondary Playmaker
Romeo Langford,SAS,SG,Unclassified
Ben Simmons,BRK,PG,Pitbull
Will Barton,2TM,SG,Slasher
Will Barton,WAS,SG,Slasher
Will Barton,TOR,SG,Switchable defender
Larry Nance Jr.,NOP,C,Rim running shotblocker
Jeremiah Robinson-Earl,OKC,PF,Athletic Finisher
Aaron Wiggins,OKC,SG,Athletic Finisher
Justise Winslow,POR,PF,Switchable defender
Terence Davis,SAC,SG,Shooter
Anthony Lamb,GSW,SF,Glue guy
Isaiah Livers,DET,PF,Stretch Big
Théo Maledon,CHO,PG,Pitbull
Dwight Powell,DAL,C,Unclassified
David Roddy,MEM,PF,Unclassified
Kevin Knox,2TM,SF,Microwave
Kevin Knox,DET,SF,Microwave
Kevin Knox,POR,PF,Unclassified
Mo Bamba,2TM,C,Rim running shotblocker
Mo Bamba,ORL,C,Rim running shotblocker
Mo Bamba,LAL,C,Rim running shotblocker
Drew Eubanks,POR,C,Rim running shotblocker
Jordan Goodwin,WAS,PG,Pitbull
Jock Landale,PHO,C,Rim running shotblocker
Nassir Little,POR,SF,Switchable defender
Brandon Boston Jr.,LAC,SF,Slasher
Luka Garza,MIN,C,Unclassified
Jay Scrubb,ORL,SG,Switchable defender
Cody Zeller,MIA,C,Rim running shotblocker
Dario Šarić,2TM,C,Stretch Big
Dario Šarić,PHO,PF,Playmaking forward
Dario Šarić,OKC,C,Stretch Big
R.J. Hampton,2TM,SG,Slasher
R.J. Hampton,ORL,SG,Pitbull
R.J. Hampton,DET,SG,Slasher
JaMychal Green,GSW,PF,Rim running shotblocker
Sam Hauser,BOS,SF,3&D Specialist
Isaac Okoro,CLE,SF,Switchable defender
Duncan Robinson,MIA,SF,Shooter
Goran Dragić,2TM,PG,Secondary Playmaker
Goran Dragić,CHI,PG,Secondary Playmaker
Goran Dragić,MIL,PG,Secondary Playmaker
Simone Fontecchio,UTA,SF,Shooter
Patrick Beverley,2TM,SG,Pitbull
Patrick Beverley,LAL,SG,Switchable defender
Patrick Beverley,CHI,PG,Pitbull
Nickeil Alexander-Walker,2TM,SG,Pitbull
Nickeil Alexander-Walker,UTA,SG,2 Way Player
Nickeil Alexander-Walker,MIN,SG,Glue guy
Jared Butler,OKC,PG,Unclassified
Quenton Jackson,WAS,PG,Unclassified
Patty Mills,BRK,PG,Unclassified
Sandro Mamukelashvili,2TM,C,Stretch Big
Sandro Mamukelashvili,MIL,C,Stretch Big
Sandro Mamukelashvili,SAS,C,Stretch Big
Mike Muscala,2TM,C,Rim running shotblocker
Mike Muscala,OKC,C,Stretch Big
Mike Muscala,BOS,C,Stretch Big
Nicolas Batum,LAC,PF,Switchable defender
Oshae Brissett,IND,PF,Unclassified
Evan Fournier,NYK,SG,Shooter
Saben Lee,2TM,PG,Unclassified
Saben Lee,PHI,PG,Microwave
Saben Lee,PHO,PG,Unclassified
Robert Covington,LAC,PF,Switchable defender
Andre Drummond,CHI,C,Rim running shotblocker
Maxi Kleber,DAL,PF,Rim running shotblocker
Jaylin Williams,OKC,C,Stretch Big
Josh Christopher,HOU,SG,Athletic Finisher
Johnny Davis,WAS,SG,Unclassified
Stanley Johnson,SAS,SF,Playmaking forward
Charles Bassey,SAS,C,Rim running shotblocker
Rodney McGruder,DET,SG,Unclassified
Ziaire Williams,MEM,SF,Unclassified
James Bouknight,CHO,SG,Microwave
Alex Caruso,CHI,PG,Secondary Playmaker
Montrezl Harrell,PHI,C,Rim running shotblocker
Jalen Johnson,ATL,SF,Switchable defender
Davion Mitchell,SAC,PG,Secondary Playmaker
Payton Pritchard,BOS,PG,Microwave
Derrick Rose,NYK,PG,Microwave
Yuta Watanabe,BRK,SF,Unclassified
Danny Green,2TM,SG,3&D Specialist
Danny Green,MEM,SG,3&D Specialist
Danny Green,CLE,SG,3&D Specialist
Jarrell Brantley,UTA,PF,Glue guy
Wenyen Gabriel,LAL,C,Rim running shotblocker
Nikola Jović,MIA,PF,Stretch Big
Otto Porter Jr.,TOR,SF,Switchable defender
Jamal Cain,MIA,PF,Athletic Finisher
Bryce McGowens,CHO,SG,Slasher
Lamar Stevens,CLE,SF,Unclassified
Dewayne Dedmon,2TM,C,Rim running shotblocker
Dewayne Dedmon,MIA,C,Rim running shotblocker
Dewayne Dedmon,PHI,C,Rim running shotblocker
Darius Bazley,2TM,C,Unclassified
Darius Bazley,OKC,C,Unclassified
Darius Bazley,PHO,C,Rim running shotblocker
Rudy Gay,UTA,PF,Glue guy
Javonte Green,CHI,SF,Switchable defender
Zeke Nnaji,DEN,PF,Rim running shotblocker
Ricky Rubio,CLE,PG,Pitbull
Lindy Waters III,OKC,SG,Shooter
MarJon Beauchamp,MIL,SF,Unclassified
DeAndre Jordan,DEN,C,Rim running shotblocker
John Konchar,MEM,SF,Switchable defender
George Hill,2TM,SG,Secondary Playmaker
George Hill,MIL,PG,Secondary Playmaker
George Hill,IND,SG,Secondary Playmaker
Vlatko Čančar,DEN,PF,Glue guy
Isaiah Hartenstein,NYK,C,Rim running shotblocker
Jaxson Hayes,NOP,C,Rim running shotblocker
Jonathan Isaac,ORL,PF,Switchable defender
Derrick Jones Jr.,CHI,PF,Switchable defender
Kenneth Lofton Jr.,MEM,PF,Playmaking forward
Cody Martin,CHO,SF,Glue guy
Sam Merrill,CLE,SG,Pitbull
Blake Wesley,SAS,SG,Unclassified
Ousmane Dieng,OKC,PF,Unclassified
Chimezie Metu,SAC,PF,Rim running shotblocker
Austin Rivers,MIN,SG,Switchable defender
Danuel House Jr.,PHI,SF,Glue guy
Johnny Juzang,UTA,SG,Unclassified
Meyers Leonard,MIL,C,Stretch Big
Garrison Mathews,2TM,SG,Pitbull
Garrison Mathews,HOU,SG,Pitbull
Garrison Mathews,ATL,SG,Unclassified
Moses Moody,GSW,SG,Unclassified
Christian Braun,DEN,SG,Pitbull
Keon Johnson,POR,SG,Unclassified
Chuma Okeke,ORL,SF,Switchable defender
Day'Ron Sharpe,BRK,C,Rim running shotblocker
Dean Wade,CLE,PF,Switchable defender
TyTy Washington Jr.,HOU,PG,Secondary Playmaker
Gary Payton II,2TM,SG,Glue guy
Gary Payton II,POR,SG,Glue guy
Gary Payton II,GSW,SG,Switchable defender
Dalano Banton,TOR,PG,Unclassified
Dāvis Bertāns,DAL,PF,Stretch Big
Malachi Flynn,TOR,PG,Secondary Playmaker
Kira Lewis Jr.,NOP,PG,Unclassified
Justin Holiday,2TM,SF,Unclassified
Justin Holiday,ATL,SF,Unclassified
Justin Holiday,DAL,SF,Switchable defender
Goga Bitadze,2TM,C,Rim running shotblocker
Goga Bitadze,IND,C,Rim running shotblocker
Goga Bitadze,ORL,C,Rim running shotblocker
Jarrett Culver,ATL,SF,Switchable defender
A.J. Green,MIL,SG,Shooter
Haywood Highsmith,MIA,PF,Switchable defender
JaVale McGee,DAL,C,Rim running shotblocker
Thaddeus Young,TOR,PF,Athletic Finisher
Omer Yurtseven,MIA,C,Rim running shotblocker
